Issue Type,Summary,Epic Name,Epic Link,Components,Labels,Story Points,Sprint,Priority,Description
Epic,Catalog Completion,Catalog Completion,,server;vendor;admin,catalog,,,High,"Dong luong quan ly san pham/variant cho vendor va duyet vendor/product cho admin. Hien tai chi co create + approve/reject."
Epic,Public Catalog & SEO,Public Catalog & SEO,,server;client,catalog;seo,,,High,"Trang danh sach + chi tiet san pham cho khach, SSR chuan SEO, filter/search/pagination."
Epic,Shopping Cart,Shopping Cart,,server;client,cart,,,High,"Gio hang guest (localStorage) + gio hang DB, merge khi login."
Epic,Checkout & Order,Checkout & Order,,server;client,order,,,Highest,"Dat hang, tach don theo vendor, kiem tra kho trong transaction."
Epic,Payment Integration,Payment Integration,,server;client,payment,,,Highest,"VNPay sandbox: tao URL thanh toan, IPN webhook, idempotency."
Epic,Order Fulfilment,Order Fulfilment,,server;client;vendor;admin,order,,,High,"Vong doi don hang: vendor xu ly, khach theo doi, admin can thiep."
Epic,Review & Rating,Review & Rating,,server;client;vendor,review,,,Medium,"Danh gia san pham sau khi nhan hang, tinh lai rating."
Epic,Wishlist & Promotions,Wishlist & Promotions,,server;client;admin;vendor,promotion,,,Medium,"Wishlist va he thong coupon/voucher."
Epic,Dashboards & Reports,Dashboards & Reports,,server;admin;vendor,analytics,,,Medium,"Bao cao doanh thu, don hang, top san pham cho admin va vendor."
Epic,DevOps: Docker CI/CD Testing,DevOps: Docker CI/CD Testing,,infra;server,devops,,,High,"Docker hoa toan bo he thong, GitHub Actions, nang do phu test."
Epic,Performance & Caching,Performance & Caching,,server;client;infra,performance,,,Medium,"Redis cache-aside, index DB, toi uu frontend."
Epic,Internationalization,Internationalization,,server;client;admin;vendor,i18n,,,Low,"Da ngon ngu vi/en cho ca 3 app va thong bao loi tu server."
Epic,Microservices & Observability,Microservices & Observability,,infra;server,microservices,,,Medium,"Tach service, API Gateway, RabbitMQ, logging/metrics tap trung, K8s."
Epic,Release & Documentation,Release & Documentation,,infra,docs,,,High,"Hardening, seed data demo, README/kien truc, dong goi portfolio."
Story,BE: Admin duyet/tu choi vendor,,Catalog Completion,server,catalog,3,PM Sprint 1,High,"PATCH /vendors/:id/approve va /reject (kem rejectedReason). AC: chi ADMIN goi duoc; approvalStatus doi dung; tu choi bat buoc co ly do; vendor bi tu choi khong tao duoc san pham."
Story,Admin UI: duyet vendor tren trang VendorDetail,,Catalog Completion,admin,catalog,2,PM Sprint 1,High,"Nut Approve/Reject + modal nhap ly do theo Modal Pattern trong CLAUDE.md. AC: sau khi duyet, danh sach vendor refetch va badge trang thai doi."
Story,BE: Cap nhat va xoa mem san pham,,Catalog Completion,server,catalog,3,PM Sprint 1,Highest,"PATCH /products/:id va DELETE /products/:id (set deletedAt). AC: chi vendor so huu duoc sua; soft delete khong pha don hang cu; san pham da xoa khong con trong catalog public."
